panel_id,week,tg,ii,age,income,education,gender,t_kakao_talk,t_anipang,t_kakao_story,t_kakao_game,n_kakao_game,t_non_kakao_game,n_non_kakao_game,t_non_kakao_story,n_non_kakao_story,t_non_kakao_talk,n_non_kakao_talk,t_non_kakao,n_non_kakao
12333,2,0,0,3,2,3,Male,5821,0,0,0,0,8898,1,0,0,3707,1,20329,13
12363,1,0,0,3,3,4,Male,3287,0,1657,0,0,0,0,0,0,201,1,29842,10
12363,2,0,0,3,3,4,Male,10131,0,973,0,0,0,0,0,0,67,1,2023,11
12381,1,0,0,4,4,4,Female,2413,0,0,0,0,0,0,0,0,14695,3,35491,23
12381,2,0,0,4,4,4,Female,10472,0,0,0,0,0,0,0,0,7904,3,25864,18
12406,1,0,0,2,2,2,Female,251,0,0,0,0,7137,1,0,0,2111,1,38047,10
12406,2,0,0,2,2,2,Female,5212,0,0,0,0,4613,1,0,0,890,1,8319,10
12424,1,0,0,2,2,4,Male,33567,0,0,0,0,0,0,2856,2,680,4,40613,36
12424,2,0,0,2,2,4,Male,56607,0,0,0,0,0,0,4513,2,837,3,76289,28
1244,1,0,0,3,3,4,Male,9983,0,967,0,0,0,0,849,1,569,1,14778,25
1244,2,0,0,3,3,4,Male,952,0,0,0,0,0,0,907,1,1894,3,48842,27
12543,1,0,0,4,3,4,Male,1001,0,0,0,0,0,0,0,0,9838,3,32553,26
12543,2,0,0,4,3,4,Male,1903,0,0,0,0,0,0,0,0,13353,4,22357,28
12552,1,0,0,2,3,3,Female,30257,0,10126,0,0,560,1,4214,1,1243,2,86604,21
12552,2,0,0,2,3,3,Female,34792,0,4766,0,0,0,0,2965,1,989,2,100898,23
12580,1,0,0,5,3,4,Male,3216,0,404,0,0,0,0,100,1,1845,2,76244,16
12580,2,0,0,5,3,4,Male,91,0,0,0,0,0,0,146,1,227,1,5955,10
12592,1,0,0,2,2,3,Female,14185,0,0,0,0,0,0,0,0,1039,2,27193,13
12592,2,0,0,2,2,3,Female,18700,0,0,0,0,0,0,54,1,621,1,25361,19
12634,1,0,0,1,4,1,Female,4034,0,3989,0,0,13820,15,169,1,1649,2,35405,45
12634,2,0,0,1,4,1,Female,2983,0,6320,0,0,16091,21,1823,2,1132,2,59171,51
1265,1,0,0,4,2,4,Male,2824,0,78,0,0,0,0,0,0,18146,2,26224,31
1265,2,0,0,4,2,4,Male,1885,0,7,0,0,0,0,0,0,2536,4,8737,23
12651,1,0,0,4,3,4,Male,3405,0,104,0,0,0,0,0,0,1520,1,15141,28
12651,2,0,0,4,3,4,Male,8146,0,21,0,0,0,0,0,0,1357,1,31504,30
12654,1,0,0,1,2,1,Female,136533,0,30082,0,0,0,0,9295,1,707,3,16246,26
12654,2,0,0,1,2,1,Female,161971,0,20011,0,0,0,0,6453,1,319,3,20191,26
12668,1,0,0,3,2,2,Female,9674,0,0,0,0,0,0,0,0,3034,2,7347,15
12668,2,0,0,3,2,2,Female,27581,0,0,0,0,0,0,0,0,1123,2,4429,16
12678,1,0,0,4,4,4,Male,434,0,17,0,0,5521,2,0,0,1858,1,62096,36
12678,2,0,0,4,4,4,Male,887,0,9,0,0,13680,3,0,0,2735,1,119351,46
12686,1,1,0,2,3,3,Female,32260,0,980,0,0,0,0,7239,2,564,1,33457,27
12686,2,1,1,2,3,3,Female,26319,503,372,0,0,0,0,5463,2,61,2,52553,34
12745,1,0,0,3,3,4,Female,1793,0,0,0,0,0,0,0,0,2749,2,5503,11
12745,2,0,0,3,3,4,Female,105,0,0,0,0,0,0,10,1,1889,1,6793,11
12773,1,0,0,2,4,3,Female,47082,0,0,0,0,2304,2,8233,2,463,2,145858,40
12773,2,0,0,2,4,3,Female,32033,0,0,0,0,514,1,2867,2,945,3,191667,47
12849,1,0,0,2,4,3,Female,14744,0,0,0,0,0,0,0,0,2900,3,75185,46
12849,2,0,0,2,4,3,Female,74754,0,0,0,0,0,0,0,0,2470,2,34582,32
1287,1,0,0,3,4,4,Male,0,0,0,0,0,0,0,0,0,9617,3,31488,18
1287,2,0,0,3,4,4,Male,2682,0,0,0,0,0,0,0,0,6803,3,15214,27
1289,1,0,0,4,1,4,Male,1350,0,770,0,0,30046,1,10,1,1967,2,50120,31
1289,2,0,0,4,1,4,Male,1507,0,145,0,0,5873,1,0,0,1588,2,64151,26
12890,1,0,0,3,3,4,Female,0,0,0,0,0,78069,2,0,0,2214,1,82432,18
12890,2,0,0,3,3,4,Female,0,0,0,0,0,136308,6,0,0,2178,1,140473,20
1290,1,0,0,3,3,4,Male,12,0,0,0,0,0,0,0,0,1111,4,8668,18
1290,2,0,0,3,3,4,Male,9,0,0,0,0,0,0,0,0,24499,3,44487,27
12904,1,0,0,3,2,4,Female,52137,0,4236,0,0,16635,2,0,0,3761,3,30892,31
12904,2,0,0,3,2,4,Female,24932,0,11052,0,0,29815,2,0,0,23687,2,71050,25
12999,1,0,0,3,3,4,Female,8797,0,8290,0,0,0,0,0,0,7603,2,33974,22
12999,2,0,0,3,3,4,Female,14045,0,7213,0,0,767,2,3,1,4597,4,47836,34
13032,1,0,0,4,3,2,Male,0,0,0,0,0,0,0,0,0,9222,4,37028,25
13032,2,0,0,4,3,2,Male,0,0,0,0,0,0,0,0,0,13062,3,48760,27
13143,1,0,0,1,3,1,Female,36178,0,0,0,0,61,2,0,0,14963,2,72498,33
13143,2,0,0,1,3,1,Female,53775,0,0,0,0,0,0,0,0,11767,3,81750,24
1317,1,0,0,4,3,4,Male,28012,0,120,0,0,0,0,12949,2,7767,3,53018,41
1317,2,0,0,4,3,4,Male,33143,0,0,0,0,0,0,9173,2,6861,2,79818,42
13200,1,0,0,1,3,1,Female,2827,0,1224,0,0,1180,2,0,0,5525,2,9462,20
13200,2,0,0,1,3,1,Female,0,0,0,0,0,0,0,0,0,0,0,3,1
13205,1,0,0,4,3,4,Female,27376,0,0,0,0,0,0,0,0,9575,1,25478,24
13205,2,0,0,4,3,4,Female,3460,0,0,0,0,0,0,0,0,6215,1,15833,19
13232,1,0,0,3,3,2,Female,3087,0,11,0,0,0,0,0,0,1298,3,21551,29
13232,2,0,0,3,3,2,Female,1016,0,0,5494,1,0,0,0,0,3145,3,50155,29
13233,1,0,0,5,4,4,Male,219,0,0,0,0,0,0,0,0,1167,1,6545,10
13233,2,0,0,5,4,4,Male,0,0,0,0,0,0,0,0,0,2208,1,19922,9
13244,1,0,0,1,3,1,Male,2158,0,946,0,0,8794,6,0,0,17673,4,59923,36
13244,2,0,0,1,3,1,Male,22690,0,0,0,0,2187,3,0,0,12300,2,49305,23
13305,1,0,0,2,1,3,Female,12159,0,0,0,0,23611,8,0,0,224,1,153447,40
13305,2,0,0,2,1,3,Female,12547,0,436,0,0,40826,5,1900,1,414,1,152648,41
13307,1,0,0,3,4,4,Male,15800,0,3100,0,0,0,0,17344,2,8404,2,51178,35
13307,2,0,0,3,4,4,Male,19798,0,1250,0,0,0,0,17909,2,6408,2,45100,31
13343,1,1,0,3,3,4,Female,3027,0,551,0,0,5471,2,0,0,448,1,7741,17
13343,2,1,1,3,3,4,Female,3896,1521,3974,3196,2,3416,2,0,0,5329,2,24172,32
13356,1,1,0,3,2,2,Male,19634,0,11467,0,0,43451,5,0,0,1209,2,115236,32
13356,2,1,1,3,2,2,Male,10940,429,16047,0,0,27031,3,0,0,1029,1,89383,27
13359,1,0,0,4,3,4,Female,27376,0,0,0,0,0,0,0,0,9575,1,25478,24
13359,2,0,0,4,3,4,Female,3460,0,0,0,0,0,0,0,0,6215,1,15833,19
13543,1,0,0,3,3,4,Male,7944,0,1665,0,0,0,0,0,0,3487,2,8746,20
13543,2,0,0,3,3,4,Male,9606,0,349,0,0,36,2,0,0,6406,2,12544,19
13551,1,0,0,5,4,4,Female,3003,0,409,0,0,0,0,0,0,104,1,2266,9
13551,2,0,0,5,4,4,Female,4165,0,145,0,0,0,0,0,0,1125,1,2502,12
13600,1,0,0,5,2,4,Male,23809,0,0,0,0,0,0,0,0,2046,2,11384,22
13600,2,0,0,5,2,4,Male,2621,0,0,0,0,0,0,0,0,1631,1,28968,14
13606,1,0,0,2,2,3,Female,60183,0,0,0,0,119491,4,2353,1,195,1,130467,25
13606,2,0,0,2,2,3,Female,99011,0,0,0,0,91367,4,3731,1,604,1,104044,29
13647,1,0,0,4,4,2,Female,20073,0,0,0,0,0,0,0,0,8614,3,25537,25
13647,2,0,0,4,4,2,Female,40578,0,0,0,0,0,0,0,0,11254,3,40074,26
13682,1,0,0,4,4,4,Male,3912,0,113,0,0,15923,2,22,2,373,3,66651,38
13682,2,0,0,4,4,4,Male,187,0,268,36,1,10845,3,4612,4,884,4,27204,38
13713,1,0,0,3,4,4,Female,0,0,0,0,0,0,0,0,0,1856,1,3929,12
13713,2,0,0,3,4,4,Female,0,0,0,0,0,0,0,6,1,724,1,29302,16
13806,1,0,0,2,2,4,Male,36499,0,102,0,0,35665,2,4848,2,325,1,59007,21
13806,2,0,0,2,2,4,Male,38656,0,0,0,0,0,0,2252,2,517,2,18793,21
13852,1,0,0,3,2,2,Female,9076,0,5968,0,0,379,3,10,1,1498,2,12126,21
13852,2,0,0,3,2,2,Female,5107,0,5663,0,0,0,0,0,0,1083,3,19879,23
13859,1,0,0,3,2,4,Female,265,0,2021,0,0,357,1,0,0,1386,2,17499,39
13859,2,0,0,3,2,4,Female,10034,0,3471,0,0,153,1,0,0,15188,2,52638,31
13876,1,0,0,4,3,4,Female,1895,0,190,0,0,85,1,0,0,2614,1,11660,14
13876,2,0,0,4,3,4,Female,3976,0,67,0,0,1126,2,0,0,2268,1,12081,10
139,1,0,0,3,3,4,Male,3657,0,0,0,0,43745,4,690,1,1462,3,66657,34
139,2,0,0,3,3,4,Male,9037,0,280,0,0,30183,5,1392,2,1711,1,56573,39
13921,1,0,0,3,3,4,Male,1554,0,0,0,0,0,0,0,0,7085,1,27527,17
13921,2,0,0,3,3,4,Male,3168,0,0,0,0,0,0,0,0,3845,1,16623,19
13964,1,0,0,3,3,4,Female,19558,0,4572,0,0,0,0,53,1,4717,1,69671,21
13964,2,0,0,3,3,4,Female,10006,0,26635,0,0,3895,3,0,0,2151,2,21240,29
13984,1,0,0,2,3,3,Female,2377,0,0,0,0,4220,1,10411,2,1096,1,130151,30
13984,2,0,0,2,3,3,Female,2581,0,0,0,0,4570,2,5950,2,397,1,153315,27
13985,1,0,0,2,3,4,Male,6079,0,0,0,0,0,0,0,0,2414,1,29087,25
13985,2,0,0,2,3,4,Male,11365,0,0,0,0,63,1,0,0,4694,2,31672,24
1401,1,0,0,4,3,4,Male,3642,0,1283,0,0,0,0,49,1,1287,2,26238,38
1401,2,0,0,4,3,4,Male,578,0,1115,0,0,0,0,0,0,5927,1,65542,41
14020,1,0,0,3,3,4,Male,2061,0,809,0,0,1053,4,487,1,265,2,7886,22
14020,2,0,0,3,3,4,Male,944,0,455,0,0,25215,4,217,1,71,1,28444,16
14072,1,0,0,2,2,3,Female,16354,0,0,0,0,2122,4,10957,1,2650,5,42338,43
